2019 Federal Election Senate First Preferences By Division By Candidate By Vote Type  [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-21T21:50:40 Cycle:b6ece63c-59a4-4b66-af5f-7bce769e872a Created:2019-05-21T21:49:17 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,Ticket,BallotPosition,CandidateID,CandidateDetails,PartyName,PartyAb,Elected,HistoricElected,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,101,Canberra,F,0,33703,F Ticket Votes,Sustainable Australia,SPP,N,N,13,0,0,0,0,13
ACT,101,Canberra,F,1,32254,"HAYDON, John",Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,101,Canberra,F,2,32256,"ANGEL, Joy",Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,101,Canberra,F,9998,0,Unapportioned,Sustainable Australia,SPP,N,N,948,0,0,0,0,948
ACT,101,Canberra,G,0,33701,G Ticket Votes,Australian Labor Party,ALP,N,N,419,0,0,0,0,419
ACT,101,Canberra,G,1,32588,"GALLAGHER, Katy",Australian Labor Party,ALP,N,N,0,0,0,0,0,0
ACT,101,Canberra,G,2,32593,"WAITES, Nancy",Australian Labor Party,ALP,N,N,0,0,0,0,0,0
ACT,101,Canberra,G,9998,0,Unapportioned,Australian Labor Party,ALP,N,N,22977,0,0,0,0,22977
ACT,101,Canberra,UG,1,33618,"HOUSTON, Nick",Independent,IND,N,N,273,0,0,0,0,273
ACT,101,Canberra,UG,2,32090,"COWTON, Gary",Independent,IND,N,N,50,0,0,0,0,50
ACT,101,Canberra,UG,3,33651,"KIM, David",Christian Democratic Party (Fred Nile Group),CDP,N,N,227,0,0,0,0,227
ACT,102,Fenner,A,0,33704,A Ticket Votes,Liberal,LP,N,N,123,0,0,0,0,123
ACT,102,Fenner,A,1,32766,"SESELJA, Zed",Liberal,LP,N,Y,0,0,0,0,0,0
ACT,102,Fenner,A,2,32779,"GUNNING, Robert",Liberal,LP,N,N,0,0,0,0,0,0
ACT,102,Fenner,A,9998,0,Unapportioned,Liberal,LP,N,N,25199,0,0,0,0,25199
ACT,102,Fenner,B,0,33700,B Ticket Votes,The Greens,GRN,N,N,15,0,0,0,0,15
ACT,102,Fenner,B,1,32210,"KYBURZ, Penny",The Greens,GRN,N,N,0,0,0,0,0,0
ACT,102,Fenner,B,2,32212,"DAVIDSON, Emma",The Greens,GRN,N,N,0,0,0,0,0,0
ACT,102,Fenner,B,9998,0,Unapportioned,The Greens,GRN,N,N,10913,0,0,0,0,10913
ACT,102,Fenner,C,0,33706,C Ticket Votes,,,N,N,2,0,0,0,0,2
ACT,102,Fenner,C,1,33572,"PESEC, Anthony",,,N,N,0,0,0,0,0,0
ACT,102,Fenner,C,2,33576,"KENT, Gary",,,N,N,0,0,0,0,0,0
ACT,102,Fenner,C,9998,0,Unapportioned,,,N,N,2913,0,0,0,0,2913
ACT,102,Fenner,D,0,33705,D Ticket Votes,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,2,0,0,0,0,2
ACT,102,Fenner,D,1,33574,"VAN DUREN, Shane",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,102,Fenner,D,2,33584,"BIRKETT, Scott",FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,0,0,0,0,0,0
ACT,102,Fenner,D,9998,0,Unapportioned,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,N,N,726,0,0,0,0,726
ACT,102,Fenner,E,0,33702,E Ticket Votes,United Australia Party,UAPP,N,N,7,0,0,0,0,7
ACT,102,Fenner,E,1,32246,"WALTER, Peter",United Australia Party,UAPP,N,N,0,0,0,0,0,0
ACT,102,Fenner,E,2,32248,"HODGSON, Rebecah Elen",United Australia Party,UAPP,N,N,0,0,0,0,0,0
ACT,102,Fenner,E,9998,0,Unapportioned,United Australia Party,UAPP,N,N,1933,0,0,0,0,1933
ACT,102,Fenner,F,0,33703,F Ticket Votes,Sustainable Australia,SPP,N,N,2,0,0,0,0,2
ACT,102,Fenner,F,1,32254,"HAYDON, John",Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,102,Fenner,F,2,32256,"ANGEL, Joy",Sustainable Australia,SPP,N,N,0,0,0,0,0,0
ACT,102,Fenner,F,9998,0,Unapportioned,Sustainable Australia,SPP,N,N,1092,0,0,0,0,1092
ACT,102,Fenner,G,0,33701,G Ticket Votes,Australian Labor Party,ALP,N,N,133,0,0,0,0,133
ACT,102,Fenner,G,1,32588,"GALLAGHER, Katy",Australian Labor Party,ALP,N,N,0,0,0,0,0,0
ACT,102,Fenner,G,2,32593,"WAITES, Nancy",Australian Labor Party,ALP,N,N,0,0,0,0,0,0
