"State_Cd","PVA_Web_1_Party_Div","AEC - OPVA","AEC - Paper","ALP","CLP","GPV","GRN","LIB","LNP","NAT","OTH","PVA_Web_2_Date_Div","20160509","20160510","20160511","20160512","20160513","20160514","20160515","20160516","20160517","20160518","20160519","20160520","20160521","20160522","20160523","20160524","20160525","20160526","20160527","20160528","20160529","20160530","20160531","20160601","20160602","20160603","20160604","20160605","20160606","20160607","20160608","20160609","20160610","20160611","20160612","20160613","20160614","20160615","20160616","20160617","20160618","20160619","20160620","20160621","20160622","20160623","20160624","20160625","20160626","20160627","20160628","20160629","20160630","20160701"
"NSW","GREENWAY",4406,122,208,,1556,,68,2,,3,"GREENWAY",,,,,,,,,,,,,,,,,,,,1556,,234,581,105,87,109,51,82,164,138,104,111,94,21,35,60,232,264,217,249,86,115,261,182,220,285,259,38,67,170,77,103,6,2
"NSW","HUGHES",3543,54,1,,1671,,2206,4,1,10,"HUGHES",,,,,,,,,,,,,,,,,,,,1671,,410,683,1068,288,188,100,74,121,371,216,136,69,39,25,48,264,212,166,135,51,76,180,133,161,203,112,25,39,94,43,58,27,4
"NSW","HUME",3073,100,1,,1737,1,2045,2,2,12,"HUME",,,,,,,,,,,,,,,,,,,,1737,,255,575,825,266,305,141,77,265,129,197,114,92,28,27,47,173,144,165,121,44,70,221,139,146,186,144,42,40,66,83,71,35,3
"NSW","HUNTER",3517,158,,,2019,,50,3,7,5,"HUNTER",,,,,,,,,,,,,,,,,,,,2019,,151,418,102,132,73,55,71,106,79,81,76,84,33,24,86,186,137,162,105,72,83,247,110,199,249,151,56,31,155,108,107,9,2
"NSW","KINGSFORD SMITH",5276,226,10,,2041,2,68,1,2,12,"KINGSFORD SMITH",,,,,,,,,,,,,,,,,,,,2041,,296,872,129,106,74,63,66,112,112,120,110,105,72,65,238,341,285,244,220,127,140,263,204,292,243,241,85,53,113,102,71,25,8
"NSW","LINDSAY",3063,88,2,,1947,,2071,1,1,9,"LINDSAY",,,,,,,,,,,,,,,,,,,,1947,,237,560,844,230,219,110,71,334,138,234,91,65,28,16,33,245,195,127,127,52,45,174,165,144,220,131,33,35,112,95,90,34,1
"NSW","LYNE",3492,159,1,,1804,,67,3,1379,11,"LYNE",,,,,,,,,,,,,,,,,,,,1804,,165,668,169,128,167,63,104,178,197,155,75,49,37,23,45,260,136,296,305,79,76,535,146,172,311,219,60,24,89,94,71,16,
"NSW","MACARTHUR",2513,68,,,1395,,1772,3,,41,"MACARTHUR",,,,,,,,,,,,,,,,,,,,1395,,254,503,788,263,241,79,56,118,87,139,79,56,16,8,32,199,180,145,77,39,61,124,161,115,224,102,26,24,66,60,50,22,3
"NSW","MACKELLAR",4390,134,3,2,1569,1,2953,3,1,6,"MACKELLAR",,,,,,,,,,,,,,,,,,,,1569,,406,921,1279,387,264,180,109,207,238,301,336,133,50,30,60,372,256,207,205,73,82,263,182,171,245,141,28,40,115,108,51,49,4
"NSW","MACQUARIE",3040,110,3,,2087,1,2185,1,2,13,"MACQUARIE",,,,,,,,,,,,,,,,,,,,2087,,303,646,916,261,309,131,81,181,304,235,116,64,46,20,29,195,145,136,106,50,82,184,129,109,167,109,17,34,85,77,60,24,4
"NSW","MCMAHON",4243,131,2,,1432,1,40,,2,3,"MCMAHON",,,,,,,,,,,,,,,,,,,,1432,,177,469,172,74,88,52,40,88,98,128,77,125,33,29,33,213,266,188,233,79,86,272,179,219,314,198,106,66,158,91,61,9,1
"NSW","MITCHELL",4433,108,1,,1987,,2639,3,,3,"MITCHELL",,,,,,,,,,,,,,,,,,,,1987,,444,973,1124,667,302,165,141,211,220,259,118,131,45,28,87,191,211,181,205,60,106,187,202,135,241,141,67,40,101,89,75,38,2
"NSW","NEW ENGLAND",3846,72,,1,1656,2,15,10,1874,40,"NEW ENGLAND",,,,,,,,,,,,,,,,,,,,1656,,177,750,111,146,189,239,227,169,162,458,239,80,271,28,104,476,198,222,112,47,54,153,131,291,141,319,16,21,130,40,114,40,5
