2019 Federal Election House of Representatives Two Candidate Preferred Flow of Preferences By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:54 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,103,Banks,32783,UAPP,United Australia Party,WRIGHT,Reginald Keith,4,33334,LP,Liberal,COLEMAN,David,1,1272,62.69
NSW,103,Banks,33215,AJP,Animal Justice Party,THAKUR,Anjali,5,32664,ALP,Labor,GAMBIAN,Chris,3,1052,62.32
NSW,103,Banks,33215,AJP,Animal Justice Party,THAKUR,Anjali,5,33334,LP,Liberal,COLEMAN,David,1,636,37.68
NSW,103,Banks,33538,CDP,Christian Democratic Party (Fred Nile Group),HO,Ki Man,6,32664,ALP,Labor,GAMBIAN,Chris,3,534,20.35
NSW,103,Banks,33538,CDP,Christian Democratic Party (Fred Nile Group),HO,Ki Man,6,33334,LP,Liberal,COLEMAN,David,1,2090,79.65
NSW,104,Barton,0,,,First Preferences,,0,32681,ALP,Labor,BURNEY,Linda,1,44227,59.5
NSW,104,Barton,0,,,First Preferences,,0,33269,LP,Liberal,SHRESTHA,Pramej,2,30109,40.5
NSW,104,Barton,32855,UAPP,United Australia Party,LIU,Ben Tung,3,32681,ALP,Labor,BURNEY,Linda,1,825,40.11
NSW,104,Barton,32855,UAPP,United Australia Party,LIU,Ben Tung,3,33269,LP,Liberal,SHRESTHA,Pramej,2,1232,59.89
NSW,104,Barton,33522,CDP,Christian Democratic Party (Fred Nile Group),SUSILO,Sonny,4,32681,ALP,Labor,BURNEY,Linda,1,474,22.54
NSW,104,Barton,33522,CDP,Christian Democratic Party (Fred Nile Group),SUSILO,Sonny,4,33269,LP,Liberal,SHRESTHA,Pramej,2,1629,77.46
NSW,104,Barton,32651,GRN,The Greens,PARISSIS,Connor,5,32681,ALP,Labor,BURNEY,Linda,1,6822,83.98
NSW,104,Barton,32651,GRN,The Greens,PARISSIS,Connor,5,33269,LP,Liberal,SHRESTHA,Pramej,2,1301,16.02
NSW,104,Barton,32365,ON,Pauline Hanson's One Nation,POLLARD,Phillip,6,32681,ALP,Labor,BURNEY,Linda,1,1070,32.54
NSW,104,Barton,32365,ON,Pauline Hanson's One Nation,POLLARD,Phillip,6,33269,LP,Liberal,SHRESTHA,Pramej,2,2218,67.46
NSW,105,Bennelong,0,,,First Preferences,,0,32637,ALP,Labor,OWLER,Brian,1,32769,40.1
NSW,105,Bennelong,0,,,First Preferences,,0,33140,LP,Liberal,ALEXANDER,John,3,48942,59.9
NSW,105,Bennelong,32805,UAPP,United Australia Party,MARKS,Andrew,2,32637,ALP,Labor,OWLER,Brian,1,645,34.13
NSW,105,Bennelong,32805,UAPP,United Australia Party,MARKS,Andrew,2,33140,LP,Liberal,ALEXANDER,John,3,1245,65.87
NSW,105,Bennelong,32585,GRN,The Greens,ZHANG,Qiu Yue,4,32637,ALP,Labor,OWLER,Brian,1,7371,80.86
NSW,105,Bennelong,32585,GRN,The Greens,ZHANG,Qiu Yue,4,33140,LP,Liberal,ALEXANDER,John,3,1745,19.14
NSW,105,Bennelong,33462,CDP,Christian Democratic Party (Fred Nile Group),WORSLEY,Julie,5,32637,ALP,Labor,OWLER,Brian,1,711,19.82
NSW,105,Bennelong,33462,CDP,Christian Democratic Party (Fred Nile Group),WORSLEY,Julie,5,33140,LP,Liberal,ALEXANDER,John,3,2877,80.18
NSW,106,Berowra,0,,,First Preferences,,0,32652,ALP,Labor,GOMPERTZ,Katie,8,19821,26.94
NSW,106,Berowra,0,,,First Preferences,,0,33171,LP,Liberal,LEESER,Julian,2,53741,73.06
NSW,106,Berowra,32707,GRN,The Greens,TAN,Monica,1,32652,ALP,Labor,GOMPERTZ,Katie,8,8788,78.77
NSW,106,Berowra,32707,GRN,The Greens,TAN,Monica,1,33171,LP,Liberal,LEESER,Julian,2,2369,21.23
NSW,106,Berowra,32885,UAPP,United Australia Party,McLACHLAN,Craig Steven,3,32652,ALP,Labor,GOMPERTZ,Katie,8,327,20.75
NSW,106,Berowra,32885,UAPP,United Australia Party,McLACHLAN,Craig Steven,3,33171,LP,Liberal,LEESER,Julian,2,1249,79.25
NSW,106,Berowra,32420,FUT,Science Party,CLARKE,Brendan Michael,4,32652,ALP,Labor,GOMPERTZ,Katie,8,966,65.94
NSW,106,Berowra,32420,FUT,Science Party,CLARKE,Brendan Michael,4,33171,LP,Liberal,LEESER,Julian,2,499,34.06
NSW,106,Berowra,33470,CDP,Christian Democratic Party (Fred Nile Group),TAYLOR,Simon Alan,5,32652,ALP,Labor,GOMPERTZ,Katie,8,325,15.03
NSW,106,Berowra,33470,CDP,Christian Democratic Party (Fred Nile Group),TAYLOR,Simon Alan,5,33171,LP,Liberal,LEESER,Julian,2,1838,84.97
NSW,106,Berowra,27974,IND,Independent,WOODWARD,Roger,6,32652,ALP,Labor,GOMPERTZ,Katie,8,241,48.69
NSW,106,Berowra,27974,IND,Independent,WOODWARD,Roger,6,33171,LP,Liberal,LEESER,Julian,2,254,51.31
NSW,106,Berowra,17744,IND,Independent,GALLAGHER,Mick,7,32652,ALP,Labor,GOMPERTZ,Katie,8,1070,50.86
NSW,106,Berowra,17744,IND,Independent,GALLAGHER,Mick,7,33171,LP,Liberal,LEESER,Julian,2,1034,49.14
NSW,106,Berowra,32626,SPP,Sustainable Australia,THOMAS,Justin,9,32652,ALP,Labor,GOMPERTZ,Katie,8,734,51.51
NSW,106,Berowra,32626,SPP,Sustainable Australia,THOMAS,Justin,9,33171,LP,Liberal,LEESER,Julian,2,691,48.49
NSW,107,Blaxland,0,,,First Preferences,,0,32645,ALP,Labor,CLARE,Jason,3,46689,66.72
NSW,107,Blaxland,0,,,First Preferences,,0,33320,LP,Liberal,GUNEY,Oz,2,23289,33.28
