2016 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Please Note: These results are not final. Event:20499 Phase:PostElection Generated:2016-08-06T21:18:43 Cycle:13e027fe-df5b-41f3-b4d7-180e86efa18d Created:2016-08-06T21:15:30 Environment:PROD Site:CDC Server:DB01 Version:10.4.37.36662]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8771,Gilmore,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1072,1.31
ACT,101,Canberra,8771,Gilmore,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,787,-1.31
ACT,101,Canberra,12072,Gordon,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,2092,3.69
ACT,101,Canberra,12072,Gordon,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1378,-3.69
ACT,101,Canberra,8772,Gowrie,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1024,3.99
ACT,101,Canberra,8772,Gowrie,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,707,-3.99
ACT,101,Canberra,8817,Griffith,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,763,0.03
ACT,101,Canberra,8817,Griffith,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,647,-0.03
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,134,4.22
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,106,-4.22
ACT,101,Canberra,8773,Holder,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1228,-0.44
ACT,101,Canberra,8773,Holder,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,885,0.44
ACT,101,Canberra,8774,Hughes,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1165,-0.76
ACT,101,Canberra,8774,Hughes,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,783,0.76
ACT,101,Canberra,8884,Isabella Plains,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1274,2.84
ACT,101,Canberra,8884,Isabella Plains,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,744,-2.84
ACT,101,Canberra,8776,Kambah North,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,916,3.75
ACT,101,Canberra,8776,Kambah North,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,540,-3.75
ACT,101,Canberra,8777,Kambah South,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1533,1.41
ACT,101,Canberra,8777,Kambah South,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,805,-1.41
ACT,101,Canberra,8778,Kambah West,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1654,2.93
ACT,101,Canberra,8778,Kambah West,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1052,-2.93
ACT,101,Canberra,8779,Lyons,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,798,1.3
ACT,101,Canberra,8779,Lyons,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,462,-1.3
ACT,101,Canberra,8780,Mawson,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1344,5.45
ACT,101,Canberra,8780,Mawson,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,847,-5.45
ACT,101,Canberra,8781,Monash,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1359,1.54
ACT,101,Canberra,8781,Monash,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,976,-1.54
ACT,101,Canberra,8782,Narrabundah,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1116,1.38
ACT,101,Canberra,8782,Narrabundah,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,608,-1.38
ACT,101,Canberra,65739,Norfolk Island,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,124,-7
ACT,101,Canberra,65739,Norfolk Island,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,121,7
ACT,101,Canberra,66153,Norfolk Island PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,32,-28.12
ACT,101,Canberra,66153,Norfolk Island PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,51,28.12
ACT,101,Canberra,8783,Oaks Estate,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,102,-2.87
ACT,101,Canberra,8783,Oaks Estate,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,72,2.87
ACT,101,Canberra,65158,Other Mobile Team 1,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,16,-4.75
ACT,101,Canberra,65158,Other Mobile Team 1,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,9,4.75
ACT,101,Canberra,65741,Parkes (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1691,-2.86
ACT,101,Canberra,65741,Parkes (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,920,2.86
ACT,101,Canberra,65742,Parkes PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,0,0
