2019 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-05-22T21:50:21 Cycle:85365308-4295-4370-8e23-05d88256d096 Created:2019-05-22T21:48:30 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Lindsay,128,NSW,,47997,55.17,39009,44.83,87006,6.28
Lingiari,306,NT,,19659,44.05,24967,55.95,44626,2.24
Longman,302,QLD,,46938,53.29,41142,46.71,88080,4.08
Lyne,130,NSW,,60376,65.97,31142,34.03,91518,4.34
Lyons,196,TAS,,27902,44.64,34601,55.36,62503,-1.53
Macarthur,131,NSW,,36920,41.07,52969,58.93,89889,-0.6
Mackellar,132,NSW,,54768,63.5,31477,36.5,86245,-2.24
Macnamara,322,VIC,,30617,42.15,42017,57.85,72634,-6.64
Macquarie,133,NSW,,45500,50.11,45304,49.89,90804,2.3
Makin,187,SA,,36378,39.99,54585,60.01,90963,0.78
Mallee,224,VIC,,57048,66.87,28268,33.13,85316,-2.93
Maranoa,170,QLD,,0,0,0,0,0,-67.54
Maribyrnong,225,VIC,,32167,38.94,50447,61.06,82614,-0.66
Mayo,188,SA,,0,0,0,0,0,-53.27
McEwen,226,VIC,,35522,44.53,44256,55.47,79778,0.53
McMahon,315,NSW,,31880,43.33,41690,56.67,73570,5.44
McPherson,171,QLD,,50268,62.22,30521,37.78,80789,0.58
Melbourne,228,VIC,,0,0,0,0,0,-33
Menzies,229,VIC,,46954,57.54,34655,42.46,81609,-0.27
Mitchell,134,NSW,,59866,69.18,26665,30.82,86531,1.36
Monash,323,VIC,,50020,57.52,36936,42.48,86956,0.01
Moncrieff,172,QLD,,53109,66.03,27319,33.97,80428,1.42
Moore,242,WA,,48063,61.84,29662,38.16,77725,0.82
Moreton,173,QLD,,35057,47.5,38749,52.5,73806,1.52
New England,135,NSW,,0,0,0,0,0,-66.42
Newcastle,136,NSW,,34146,36.13,60363,63.87,94509,-0.03
Nicholls,324,VIC,,61964,71,25306,29,87270,-1.52
North Sydney,137,NSW,,49229,59.56,33431,40.44,82660,-4.05
O'Connor,243,WA,,48803,64.44,26927,35.56,75730,-0.6
Oxley,174,QLD,,33994,42.79,45455,57.21,79449,1.8
Page,138,NSW,,60484,59.77,40703,40.23,101187,7.47
Parkes,139,NSW,,56714,66.64,28385,33.36,85099,1.54
Parramatta,140,NSW,,32369,46.43,37340,53.57,69709,4.1
Paterson,249,NSW,,43224,44.54,53823,55.46,97047,5.28
Pearce,244,WA,,45788,57.09,34416,42.91,80204,3.46
Perth,245,WA,,32534,44.72,40220,55.28,72754,-1.95
